id_Producto1,Nombre_producto_1,id_Producto2,Nombre_producto_2,Cantidad_de_repeticiones
13176,Bag of Organic Bananas,21137,Organic Strawberries,3074
13176,Bag of Organic Bananas,47209,Organic Hass Avocado,2420
13176,Bag of Organic Bananas,27966,Organic Raspberries,1780
21137,Organic Strawberries,27966,Organic Raspberries,1670
21137,Organic Strawberries,47209,Organic Hass Avocado,1539
47626,Large Lemon,47766,Organic Avocado,1349
21137,Organic Strawberries,39275,Organic Blueberries,1269
13176,Bag of Organic Bananas,30391,Organic Cucumber,1268
13176,Bag of Organic Bananas,39275,Organic Blueberries,1137
13176,Bag of Organic Bananas,27845,Organic Whole Milk,1118
21137,Organic Strawberries,47766,Organic Avocado,1088
13176,Bag of Organic Bananas,47766,Organic Avocado,1070
13176,Bag of Organic Bananas,5876,Organic Lemon,1067
13176,Bag of Organic Bananas,47626,Large Lemon,1057
13176,Bag of Organic Bananas,45007,Organic Zucchini,1041
21137,Organic Strawberries,30391,Organic Cucumber,1032
47209,Organic Hass Avocado,27966,Organic Raspberries,1019
21137,Organic Strawberries,47626,Large Lemon,1017
13176,Bag of Organic Bananas,22935,Organic Yellow Onion,1000
13176,Bag of Organic Bananas,19057,Organic Large Extra Fancy Fuji Apple,973
21137,Organic Strawberries,27845,Organic Whole Milk,954
13176,Bag of Organic Bananas,24964,Organic Garlic,912
22935,Organic Yellow Onion,24964,Organic Garlic,850
47209,Organic Hass Avocado,30391,Organic Cucumber,831
13176,Bag of Organic Bananas,42265,Organic Baby Carrots,825
13176,Bag of Organic Bananas,40706,Organic Grape Tomatoes,820
13176,Bag of Organic Bananas,37646,Organic Gala Apples,810
13176,Bag of Organic Bananas,8518,Organic Red Onion,805
47209,Organic Hass Avocado,5876,Organic Lemon,781
47626,Large Lemon,24964,Organic Garlic,780
13176,Bag of Organic Bananas,4920,Seedless Red Grapes,778
13176,Bag of Organic Bananas,16797,Strawberries,777
21137,Organic Strawberries,4920,Seedless Red Grapes,772
21137,Organic Strawberries,45007,Organic Zucchini,751
47626,Large Lemon,4605,Yellow Onions,747
21137,Organic Strawberries,40706,Organic Grape Tomatoes,742
47626,Large Lemon,45007,Organic Zucchini,736
47626,Large Lemon,47209,Organic Hass Avocado,733
47209,Organic Hass Avocado,22935,Organic Yellow Onion,731
13176,Bag of Organic Bananas,31717,Organic Cilantro,714
27966,Organic Raspberries,39275,Organic Blueberries,694
21137,Organic Strawberries,42265,Organic Baby Carrots,693
13176,Bag of Organic Bananas,8277,Apple Honeycrisp Organic,687
47766,Organic Avocado,40706,Organic Grape Tomatoes,684
21137,Organic Strawberries,5876,Organic Lemon,677
21137,Organic Strawberries,22935,Organic Yellow Onion,671
47626,Large Lemon,16797,Strawberries,671
47626,Large Lemon,30391,Organic Cucumber,670
