{Oh My Yog! Madagascar Vanilla Trilayer Yogyurt, Oh My Yog! Pacific Coast Strawberry Trilayer Yogurt, Oh My Yog! Gingered Pear Trilayer Yogurt} => {Oh My Yog! Organic Wild Quebec Blueberry Cream Top Yogurt & Fruit}: 1.000
{Oh My Yog! Madagascar Vanilla Trilayer Yogyurt, Oh My Yog! Organic Wild Quebec Blueberry Cream Top Yogurt & Fruit, Oh My Yog! Gingered Pear Trilayer Yogurt} => {Oh My Yog! Pacific Coast Strawberry Trilayer Yogurt}: 0.846
{Oh My Yog! Pacific Coast Strawberry Trilayer Yogurt, Oh My Yog! Organic Wild Quebec Blueberry Cream Top Yogurt & Fruit, Oh My Yog! Gingered Pear Trilayer Yogurt} => {Oh My Yog! Madagascar Vanilla Trilayer Yogyurt}: 0.846
{Unsweetened Whole Milk Peach Greek Yogurt, Unsweetened Whole Milk Mixed Berry Greek Yogurt, Unsweetened Whole Milk Blueberry Greek Yogurt} => {Unsweetened Whole Milk Strawberry Yogurt}: 0.833
{Unsweetened Whole Milk Peach Greek Yogurt, Unsweetened Whole Milk Mixed Berry Greek Yogurt, Unsweetened Whole Milk Strawberry Yogurt} => {Unsweetened Whole Milk Blueberry Greek Yogurt}: 0.714
{Unsweetened Whole Milk Peach Greek Yogurt, Unsweetened Whole Milk Blueberry Greek Yogurt, Unsweetened Whole Milk Strawberry Yogurt} => {Unsweetened Whole Milk Mixed Berry Greek Yogurt}: 0.714
{Dairy Free Coconut Milk Passionate Mango Yogurt Alternative, Dairy Free Coconut Milk Raspberry Yogurt Alternative, Dairy Free Coconut Milk Yogurt Alternative} => {Dairy Free Coconut Milk Blueberry Yogurt Alternative}: 0.706
{Cherry Pomegranate Greek Yogurt, Total 0% Peach Yogurt, Fat Free Strawberry Yogurt} => {Total 0% Raspberry Yogurt}: 0.833
{Cherry Pomegranate Greek Yogurt, Total 0% Peach Yogurt, Total 0% Raspberry Yogurt} => {Fat Free Strawberry Yogurt}: 0.833
{Total 0% Peach Yogurt, Fat Free Strawberry Yogurt, Total 0% Raspberry Yogurt} => {Fat Free Blueberry Yogurt}: 0.800
{Total 0% Peach Yogurt, Fat Free Blueberry Yogurt, Total 0% Raspberry Yogurt} => {Fat Free Strawberry Yogurt}: 0.800
{Bag of Organic Bananas, Organic Orange Juice With Calcium & Vitamin D, Organic Hass Avocado} => {Organic Strawberries}: 0.733
