{Bunched Cilantro, Organic Baby Spinach} => {Large Lemon}: 1.400
{Bunched Cilantro, Garlic} => {Banana}: 1.400
{Dark Chocolate With Almonds, Milk Chocolate Minatures} => {Carmel Milk Chocolate}: 1.000
{Carmel Milk Chocolate, Dark Chocolate With Almonds} => {Milk Chocolate Minatures}: 1.000
{Carmel Milk Chocolate, Sea Salt Caramel & Dark Chocolate} => {Milk Chocolate Minatures}: 1.000
{Dark Chocolate With Almonds, Sea Salt Caramel & Dark Chocolate} => {Milk Chocolate Minatures}: 1.000
{Milk Chocolate Minatures, Sea Salt Caramel & Dark Chocolate} => {Carmel Milk Chocolate}: 1.000
{Carmel Milk Chocolate, Milk Chocolate Minatures, Sea Salt Caramel & Dark Chocolate} => {Mint & Dark Chocolate}: 1.000
{Carmel Milk Chocolate, Dark Chocolate With Almonds, Milk Chocolate Minatures} => {Sea Salt Caramel & Dark Chocolate}: 1.000
{Dark Chocolate With Almonds, Milk Chocolate Minatures, Sea Salt Caramel & Dark Chocolate} => {Carmel Milk Chocolate}: 1.000
{Carmel Milk Chocolate, Dark Chocolate With Almonds, Sea Salt Caramel & Dark Chocolate} => {Milk Chocolate Minatures}: 1.000
{Dove Dark Chocolate Snowflake Promises, Milk Chocolate Minatures} => {Carmel Milk Chocolate}: 1.000
{Carmel Milk Chocolate, Sea Salt Caramel & Dark Chocolate} => {Milk Chocolate Minatures}: 1.000
{Dove Dark Chocolate Snowflake Promises, Sea Salt Caramel & Dark Chocolate} => {Milk Chocolate Minatures}: 1.000
{Milk Chocolate Minatures, Sea Salt Caramel & Dark Chocolate} => {Carmel Milk Chocolate}: 1.000
{Carmel Milk Chocolate, Milk Chocolate Minatures, Sea Salt Caramel & Dark Chocolate} => {Mint & Dark Chocolate}: 1.000
{Carmel Milk Chocolate, Dove Dark Chocolate Snowflake Promises, Milk Chocolate Minatures} => {Sea Salt Caramel & Dark Chocolate}: 1.000
{Dove Dark Chocolate Snowflake Promises, Milk Chocolate Minatures, Sea Salt Caramel & Dark Chocolate} => {Carmel Milk Chocolate}: 1.000
{Carmel Milk Chocolate, Dove Dark Chocolate Snowflake Promises, Sea Salt Caramel & Dark Chocolate} => {Milk Chocolate Minatures}: 1.000
{Simply 100 Black Cherry Blended  Non-Fat Greek Yogurt, Simply 100 Strawberry Blended Non-Fat Greek Yogurt} => {Simply 100 Peach Blended  Non-Fat Greek Yogurt}: 1.000
{Classic Tender Beef & Chicken Feast Cat Food, Classic Tender Beef Feast Cat Food} => {Tender Beef & Liver Feast Classic Wet Cat Food}: 1.000
{Savory Salmon} => {Classic Seafood Feast Cat Food}: 1.000
{Classic Seafood Feast Cat Food, Savory Salmon} => {Classic Salmon & Shrimp Feast Cat Food}: 1.000
{Classic Salmon & Shrimp Feast Cat Food, Savory Salmon} => {Classic Seafood Feast Cat Food}: 1.000
{Classic Ocean Whitefish & Tuna Feast Cat Food, Classic Salmon & Shrimp Feast Cat Food} => {Classic Seafood Feast Cat Food}: 1.000
{Classic Ocean Whitefish & Tuna Feast Cat Food, Savory Salmon} => {Classic Seafood Feast Cat Food}: 1.000
{Flip Coffee Break Bliss Greek Yogurt, Flip Peanut Butter Dream Greek Yogurt} => {Flip Chocolate Haze Craze Low-Fat Greek Yogurt}: 1.000
{Carmel Peanut Perfectio, Flip Peanut Butter Dream Greek Yogurt} => {Flip Coffee Break Bliss Greek Yogurt}: 1.000
{Carmel Peanut Perfectio, Flip Coffee Break Bliss Greek Yogurt} => {Flip Peanut Butter Dream Greek Yogurt}: 1.000
{Savory Salmon} => {Classic Tender Liver & Chicken Feast Cat Food}: 1.000
{Classic Tender Liver & Chicken Feast Cat Food, Savory Salmon} => {Fancy Feast Wet Classic Chicken Feast Cat Food}: 1.000
{Fancy Feast Wet Classic Chicken Feast Cat Food, Savory Salmon} => {Classic Tender Liver & Chicken Feast Cat Food}: 1.000
{Banana, Unsweetened Honeydew Essence Water} => {Unsweetened Watermelon Water}: 1.000
{Chunky Blend Vegetable Beef Pilaf Baby Food, Organic Stage 3 Zucchini Broccoli Medley Baby Food} => {Tender Chicken & Stars Stage 3}: 1.000
{Bag of Organic Bananas, Organic Raspberries} => {Organic Strawberries}: 1.000
{Organic Raspberries, Organic Strawberries} => {Bag of Organic Bananas}: 1.000
{"Protein Bar, Chocolate Fudge High Protein Bar} => {Brownie Crunch High Protein Bar}: 1.000
{Organic Strawberries, Organic Sweetened Almond Milk} => {Bag of Organic Bananas}: 1.000
{Hot Kid Organic Baby Mum-Mum Original Rice Rusks, Organic Strawberries} => {Bag of Organic Bananas}: 1.000
{Organic Pears & Rasberries Stage 2 Baby Food, Organic Stage 2 Carrots Baby Food} => {Sweet Potatoes Stage 2}: 1.000
{"Water, Unsweet Peach Water} => {Unsweetened Blackberry Water}: 1.000
{"Water, Unsweetened Blackberry Water} => {Unsweet Peach Water}: 1.000
{Oh My Yog! Madagascar Vanilla Trilayer Yogyurt, Oh My Yog! Pacific Coast Strawberry Trilayer Yogurt} => {Oh My Yog! Organic Wild Quebec Blueberry Cream Top Yogurt & Fruit}: 1.000
{Organic Garlic, Organic Red Onion} => {Limes}: 1.000
{Limes, Organic Garlic, Organic Red Onion} => {Organic Cilantro}: 1.000
{Organic Cilantro, Organic Garlic, Organic Red Onion} => {Limes}: 1.000
{Limes, Organic Cilantro, Organic Garlic} => {Organic Red Onion}: 1.000
{Maple Almond Bar, Peanut Butter Bar} => {Organic Gluten Free Cranberry Crunch Bar}: 1.000
{"Almond Coconut Bar, Maple Almond Bar} => {Peanut Butter Bar}: 1.000
{Organic Fruit Yogurt Smoothie Mixed Berry, Organic Fruit Yogurt Smoothie Peach Banana} => {Organic Pear Mango Fruit Yogurt Smoothie}: 1.000
{Apple Blueberry Fruit Yogurt Smoothie, Organic Fruit Yogurt Smoothie Peach Banana} => {Organic Pear Mango Fruit Yogurt Smoothie}: 1.000
{"Water, Unsweetened Pomegranate Essence Water} => {Unsweetened Blackberry Water}: 1.000
