{Oh My Yog! Madagascar Vanilla Trilayer Yogyurt, Oh My Yog! Pacific Coast Strawberry Trilayer Yogurt} => {Oh My Yog! Organic Wild Quebec Blueberry Cream Top Yogurt & Fruit}: 1.000
{Baby Food Pears Squash, Bag of Organic Bananas} => {"Apples}: 1.000
{Pineapple Yogurt 2%, Total 2% Lowfat Greek Strained Yogurt with Peach} => {Total 2% Lowfat Greek Strained Yogurt With Blueberry}: 1.000
{Organic Stage 2 Peaches & Bananas Baby Food, Stage 1 Apples & Strawberries Organic Pureed Baby Food} => {"Organic Pears}: 1.000
{Banana, Unsweetened Blackberry Water} => {Unsweetened Watermelon Water}: 1.000
{Baby Food Pears Squash, Bag of Organic Bananas} => {"Apples}: 1.000
{"Pears, Baby Food Pears Squash} => {"Apples}: 1.000
{Blueberry on the Bottom Nonfat Greek Yogurt, Pomegranate on the Bottom Non-Fat Greek Yogurt} => {Peach on the Bottom Nonfat Greek Yogurt}: 1.000
{Total 2% Lowfat Greek Strained Yogurt With Blueberry, Total 2% Yogurt Key Lime} => {Total 2% Lowfat Greek Strained Yogurt with Peach}: 1.000
{Fat Free Blueberry Yogurt, Total 0% Peach Yogurt} => {Fat Free Strawberry Yogurt}: 1.000
{Cherry Pomegranate Greek Yogurt, Fat Free Strawberry Yogurt, Total 0% Peach Yogurt} => {Total 0% Raspberry Yogurt}: 1.000
{Organic Strawberries, Yotoddler Organic Pear Spinach Mango Yogurt} => {Organic Whole Milk Strawberry Beet Berry Yogurt Pouch}: 1.000
{Pineapple on the Bottom Greek Yogurt, Raspberry on the Bottom Nonfat Greek Yogurt} => {Blueberry on the Bottom Nonfat Greek Yogurt}: 1.000
{Peach on the Bottom Nonfat Greek Yogurt, Raspberry on the Bottom Nonfat Greek Yogurt} => {Low-Fat Mango on the Bottom Greek Yogurt}: 1.000
{Low-Fat Mango on the Bottom Greek Yogurt, Raspberry on the Bottom Nonfat Greek Yogurt} => {Peach on the Bottom Nonfat Greek Yogurt}: 1.000
{Non Fat Black Cherry on the Bottom Greek Yogurt, Peach on the Bottom Nonfat Greek Yogurt} => {Blueberry on the Bottom Nonfat Greek Yogurt}: 1.000
{Low-Fat Mango on the Bottom Greek Yogurt, Peach on the Bottom Nonfat Greek Yogurt, Strawberry on the Bottom Nonfat Greek Yogurt} => {Blueberry on the Bottom Nonfat Greek Yogurt}: 1.000
{Low-Fat Mango on the Bottom Greek Yogurt, Raspberry on the Bottom Nonfat Greek Yogurt, Strawberry on the Bottom Nonfat Greek Yogurt} => {Blueberry on the Bottom Nonfat Greek Yogurt}: 1.000
{Low-Fat Mango on the Bottom Greek Yogurt, Peach on the Bottom Nonfat Greek Yogurt, Raspberry on the Bottom Nonfat Greek Yogurt} => {Blueberry on the Bottom Nonfat Greek Yogurt}: 1.000
{Low-Fat Mango on the Bottom Greek Yogurt, Low-Fat Strawberry Banana on the Bottom Greek Yogurt, Peach on the Bottom Nonfat Greek Yogurt} => {Blueberry on the Bottom Nonfat Greek Yogurt}: 1.000
{Low-Fat Mango on the Bottom Greek Yogurt, Low-Fat Strawberry Banana on the Bottom Greek Yogurt, Raspberry on the Bottom Nonfat Greek Yogurt} => {Blueberry on the Bottom Nonfat Greek Yogurt}: 1.000
{Low-Fat Mango on the Bottom Greek Yogurt, Peach on the Bottom Nonfat Greek Yogurt, Raspberry on the Bottom Nonfat Greek Yogurt} => {Blueberry on the Bottom Nonfat Greek Yogurt}: 1.000
{Organic Raspberries, Original Roasted Seaweed Snacks} => {Bag of Organic Bananas}: 1.000
