sep=;
Split\Cluster;2;4;6;8;10;12;14;16;18;20;;;Entropia
1;0.588;1.346;1.484;1.377;1.243;1.531;1.563;1.638;1.911;1.777;1.446
2;0.589;1.083;1.477;1.601;1.581;1.600;1.983;2.158;2.016;2.037;1.612
3;0.001;1.110;1.337;1.664;1.595;1.977;2.090;1.871;1.614;2.060;1.532
4;0.527;0.601;0.865;1.704;1.652;1.181;1.625;1.896;1.698;1.909;1.366
5;0.596;1.577;0.767;1.730;1.103;1.688;2.062;1.689;1.733;1.715;1.466
6;0.689;1.085;1.273;1.434;1.763;1.360;1.668;1.424;1.798;1.581;1.408
7;0.530;1.092;1.574;1.611;1.622;1.759;1.781;1.775;2.086;1.758;1.559
8;0.599;1.095;1.097;1.767;1.581;1.554;1.756;1.842;1.823;1.878;1.499
9;0.583;1.348;1.089;1.244;1.718;1.851;2.108;1.576;1.972;2.082;1.557
10;0.596;1.091;1.521;1.463;1.875;1.104;1.608;1.514;2.023;1.727;1.452
11;0.580;1.148;1.076;1.293;1.660;1.466;1.479;1.601;2.088;2.117;1.451
12;0.521;1.536;1.196;1.363;1.720;1.683;1.362;1.956;1.862;1.936;1.513
13;0.529;1.094;1.185;1.358;1.666;1.511;1.713;1.724;1.889;1.897;1.456
;0.533;1.170;1.226;1.508;1.598;1.559;1.754;1.743;1.886;1.883;;;C:1.486;S:1.486

Split\Cluster;2;4;6;8;10;12;14;16;18;20;;;Confianza
1;0.817;0.774;0.700;0.777;0.801;0.841;0.779;0.700;0.852;0.700;0.774
2;0.816;0.800;0.750;0.000;0.728;0.728;0.750;0.000;0.750;0.000;0.532
3;0.798;0.775;0.786;0.807;0.850;0.797;0.833;0.798;0.798;0.798;0.804
4;0.791;0.797;0.798;0.725;0.739;0.736;0.750;0.769;0.739;0.778;0.762
5;0.822;0.777;0.795;0.787;0.802;0.790;0.791;0.788;0.807;0.773;0.793
6;0.782;0.792;0.769;0.857;0.750;0.761;0.000;0.714;0.725;0.750;0.690
7;0.802;0.811;0.821;0.821;0.783;0.821;0.750;0.805;0.857;0.857;0.813
8;0.820;0.765;0.765;0.759;0.747;0.769;0.732;0.756;0.723;0.735;0.757
9;0.827;0.764;0.000;0.000;0.000;0.000;0.000;0.804;0.000;0.000;0.239
10;0.813;0.786;0.750;0.810;0.750;0.786;0.750;0.794;0.000;0.000;0.624
11;0.808;0.810;0.798;0.814;0.784;0.798;0.795;0.768;0.767;0.781;0.792
12;0.813;0.863;0.791;0.834;0.791;0.816;0.790;0.750;0.803;0.824;0.808
13;0.811;0.803;0.832;0.839;0.767;0.858;0.829;0.875;0.827;0.782;0.822
;0.809;0.794;0.720;0.679;0.715;0.731;0.658;0.717;0.665;0.598;;;C:0.709;S:0.709

