id_Producto,Cantidad_de_repeticiones
49302,8
11109,144
10246,1062
49683,2413
43633,24
13176,15480
47209,7293
22035,1993
39612,33
19660,2225
49235,2646
43086,644
46620,42
34497,139
48679,2568
46979,3868
11913,99
18159,101
4461,407
21616,2923
23622,346
32433,497
28842,1920
42625,658
39693,126
20574,326
30391,4613
40706,3823
25610,50
27966,5546
24489,1213
39275,4966
8859,950
19731,110
43654,170
4357,144
37664,94
34065,34
35951,2176
43560,10
9896,28
27509,175
15455,53
47601,196
40396,654
35042,734
40986,27
1939,78
46313,96
329,480
30776,855
36695,926
27683,196
15995,161
27344,1788
47333,87
48287,203
45204,47
24964,4158
18117,21
46413,55
34126,2400
9373,28
22935,4290
46720,527
44479,363
790,169
18441,610
45007,4589
20520,263
7461,166
26317,370
3880,204
36364,21
32463,77
41387,48
31066,407
17747,103
25659,1045
27104,2651
21174,475
41860,97
38273,511
5876,3505
29217,15
9047,149
4549,4
22425,57
11776,48
18394,171
37766,635
6236,41
5077,2298
8153,253
43772,1024
25591,25
34582,139
49593,11
15093,8
43841,3
21137,10894
40354,235
17794,2497
11182,1147
39190,516
1194,428
5578,127
38159,692
10305,379
38557,593
28199,1478
24852,18726
29883,5
28427,395
7754,9
39947,518
47307,11
36291,11
1940,931
2040,17
20711,118
47501,11
33000,1476
11361,139
27695,554
47672,835
45633,220
38015,39
36968,36
30830,47
5115,116
11520,1898
25715,21
12078,251
6184,1351
32403,332
19828,107
12341,2276
16797,6494
13424,265
30591,163
18196,26
34229,64
48118,113
14992,1160
35365,38
31506,2068
4972,16
34591,6
47626,8135
20082,523
47144,1465
36441,81
12206,699
4034,30
30573,17
42404,129
42265,3597
12211,53
29740,49
31717,3526
13829,521
34358,1920
48204,89
8424,2932
21405,1041
37307,122
9203,191
15842,156
12545,225
7509,54
45683,62
41220,1154
15872,686
47482,14
43335,11
16108,33
28289,830
9387,1379
18599,290
31766,368
48070,18
23044,243
45066,3551
21903,9784
9076,2323
10749,2393
30720,657
16759,1742
8193,1418
43789,1222
26209,6033
11262,39
17652,330
34913,11
47156,353
40174,686
31343,1036
8013,85
46149,347
17417,13
1582,70
196,1507
29529,109
42013,59
45687,48
47931,93
48226,99
36570,6
30723,8
19977,59
9804,38
37487,6
4335,18
45061,187
28464,52
12626,22
4818,19
34966,18
23517,30
26369,1221
43961,2460
11063,17
26165,847
44116,162
5450,3103
9741,305
22491,33
45343,23
32467,167
20084,86
21901,5
44359,2623
19057,2891
43122,980
8277,2252
747,11
49021,3
48465,5
29869,10
9618,37
10089,83
2450,405
9133,41
35352,49
16083,619
10814,256
21634,12
35140,476
23094,163
28985,2627
39922,367
5258,673
13984,742
15261,391
24082,238
6046,943
18465,1767
15937,778
47211,58
45685,18
34969,2234
46993,32
45757,24
7559,459
13431,343
1376,34
42719,452
42097,23
36759,22
3464,428
29307,459
42958,55
27999,183
7552,14
25466,689
1465,10
28083,65
29657,31
34986,58
33651,218
33957,198
16198,46
47409,55
24004,76
22206,60
29487,1953
22882,212
4697,69
21158,47
5069,41
46522,430
12945,60
8022,218
19658,20
11249,46
35234,78
10673,669
37836,51
13417,23
47532,38
33516,6
8841,10
18761,139
48186,166
23955,80
27845,4908
39581,362
49520,651
39375,40
17526,87
35914,361
36425,76
3664,54
31404,164
49111,199
30827,693
14966,185
46129,107
3798,259
33081,188
7862,224
12260,87
25042,1
38311,53
18830,1
1017,78
37620,2
38371,172
16714,100
30571,38
23535,17
23776,10
46667,2007
30024,73
41570,194
41787,1207
35530,92
27521,1761
40761,82
10385,518
18656,411
34243,1351
24184,2905
778,32
37067,2332
47977,630
36316,460
38456,845
44910,777
40417,56
13517,498
2545,33
29418,159
8087,283
42701,1047
36994,144
42342,928
35000,44
47380,52
42900,38
11123,257
17203,7
44008,395
48823,67
48205,878
41671,19
12986,78
39758,104
31215,445
17758,507
46473,168
27681,71
5194,475
32520,19
19604,230
5384,18
48246,143
22105,101
40310,897
4103,20
16900,81
18792,55
38805,12
25237,59
9130,36
25316,10
25138,518
47759,489
38453,144
11352,245
40009,167
2966,729
43394,265
44626,24
15887,46
1269,5
11301,25
25743,14
8670,628
11250,156
22312,274
43909,5
28127,30
13093,53
33768,542
44099,25
12419,180
22034,138
39812,665
15763,21
47766,7409
22849,381
21050,145
16953,991
16823,295
39993,708
39251,5
46676,993
2086,821
5785,1535
5212,854
23375,754
38689,1206
22260,259
5134,513
6104,554
14197,503
27086,2424
4595,191
7131,316
33911,81
40233,176
33129,694
31553,1284
47734,785
3188,32
12815,3
21938,2521
16179,4
48745,663
38579,105
432,1277
26376,28
44632,3359
38739,1633
44201,150
10132,696
16254,329
7781,1342
38293,958
17730,48
30146,16
25890,2088
2228,354
41793,126
15579,39
35105,21
29363,142
3789,18
11737,123
26915,136
35483,33
35469,92
3717,127
5646,603
47521,120
5445,64
26131,284
8490,262
44560,451
47990,176
16521,389
7503,448
12320,173
22270,10
10878,12
22963,1123
31893,156
7035,261
11494,195
36029,118
41870,44
36011,811
45578,160
41844,1218
2825,416
42637,96
3896,383
19261,117
28849,1250
42768,1141
34977,13
44845,24
19446,142
45254,47
16262,298
20738,443
37029,423
24759,310
48290,74
12738,82
1263,208
49082,49
41674,90
9708,10
14381,129
48366,58
28515,85
8475,170
49049,4
6890,29
12906,2
18721,173
24123,22
13724,2
14399,131
3765,208
10504,296
22089,234
23265,141
27841,83
44402,18
199,11
44292,216
5460,325
29382,124
17316,468
18094,45
12383,25
42193,156
28745,429
10369,260
8012,178
37733,77
15742,1
9252,25
16339,12
39719,161
44142,1468
32828,112
35417,80
37849,124
40332,690
22242,28
2180,305
25345,6
3919,194
22151,204
3118,18
29443,15
48516,4
46886,372
49363,55
48857,282
5612,432
31399,4
42896,7
35887,398
20995,1361
39097,252
37687,1362
34262,494
40486,108
34423,101
44469,1
19008,24
459,109
37354,117
46941,214
17678,54
38802,35
33095,110
28188,6
15200,372
21288,1077
45707,3
8048,610
40002,280
43643,193
9598,172
13409,253
33731,1694
6297,140
34050,581
32734,640
31040,707
39182,26
2091,362
48057,211
36506,29
43735,235
40604,1449
6905,3
41874,91
28535,386
33792,13
14976,47
13231,56
4920,4059
38693,297
2081,55
39990,89
9477,186
25599,4
13620,7
22071,28
14087,13
36929,306
26373,93
24799,757
25590,8
4957,647
33754,973
18531,866
17122,670
27325,441
3873,263
12481,232
6187,600
49610,330
33439,88
33316,117
35274,4
42959,68
11941,205
7104,2
42030,53
19950,8
260,1215
47788,430
46802,1077
31720,260
8693,56
44035,30
